time,open,high,low,close,Shapes,Shapes
1710995400,1.09346,1.09355,1.09328,1.09334,1,1
1710996300,1.09334,1.09352,1.09332,1.09332,0,0
1710997200,1.09332,1.09349,1.09326,1.09349,0,1
1710998100,1.09349,1.09356,1.09338,1.09342,0,0
1710999000,1.09342,1.09369,1.09337,1.09349,1,0
1710999900,1.09349,1.09352,1.09318,1.09318,0,0
1711000800,1.09318,1.09375,1.09318,1.0937,0,0
1711001700,1.0937,1.09383,1.09352,1.09359,1,0
1711002600,1.09359,1.09375,1.0935,1.09352,0,0
1711003500,1.09352,1.09378,1.09348,1.09378,0,1
1711004400,1.09378,1.09427,1.09371,1.09396,1,0
1711005300,1.09396,1.09396,1.09332,1.09375,0,0
1711006200,1.09375,1.09383,1.09307,1.09308,0,0
1711007100,1.09308,1.09313,1.09256,1.09288,0,0
1711008000,1.09288,1.09288,1.09201,1.09206,0,0
1711008900,1.09206,1.09206,1.09067,1.09138,0,0
1711009800,1.09138,1.09138,1.08932,1.08972,0,0
1711010700,1.08972,1.08972,1.08874,1.08919,0,1
1711011600,1.08919,1.08955,1.08892,1.08941,0,0
1711012500,1.08941,1.09034,1.0893,1.09026,0,0
1711013400,1.09026,1.09089,1.08997,1.09086,0,0
1711014300,1.09086,1.09149,1.09068,1.0913,0,0
1711015200,1.0913,1.09223,1.09122,1.0922,0,0
1711016100,1.0922,1.09238,1.09177,1.09193,1,0
1711017000,1.09193,1.09206,1.09153,1.0917,0,1
1711017900,1.0917,1.09204,1.09166,1.09195,0,0
1711018800,1.09195,1.09204,1.0914,1.09152,0,0
1711019700,1.09152,1.09168,1.09094,1.09101,0,0
1711020600,1.09101,1.09109,1.09064,1.0908,0,0
1711021500,1.0908,1.09098,1.0905,1.09098,0,1
1711022400,1.09098,1.0913,1.09056,1.09082,0,0
1711023300,1.09082,1.09171,1.09077,1.09142,1,0
1711024200,1.09142,1.09155,1.09036,1.0908,0,1
1711025100,1.0908,1.09128,1.09058,1.09116,0,0
1711026000,1.09116,1.09118,1.09031,1.09049,0,0
1711026900,1.09049,1.09055,1.08942,1.08956,0,0
1711027800,1.08956,1.09012,1.08942,1.08966,0,0
1711028700,1.08966,1.09004,1.08844,1.08858,0,0
1711029600,1.08858,1.0886,1.08752,1.0878,0,0
1711030500,1.0878,1.08819,1.08728,1.08756,0,0
1711031400,1.08756,1.08779,1.08707,1.08734,0,1
1711032300,1.08734,1.088,1.08733,1.0879,1,0
1711033200,1.0879,1.08792,1.0867,1.08672,0,0
1711034100,1.08672,1.08688,1.0862,1.08643,0,0
